Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold
Hjv,22.3260160316056,-0.5153446842532242,0.9882066023708486,0.27373923741926637,0.3926395704271444,FALSE
Tcerg1l,10.296869200023881,-0.5154502939084622,0.8476121975806226,0.32264681640226045,0.44615549712070396,FALSE
Gm7788,1.7753290737386453,-0.5155635937721393,1.0015262347862008,0.25166855370479263,NA,NA
Ermp1,687.0257158044276,-0.5157306537013654,0.4564276335374042,0.2051359768395745,0.31662686113348537,FALSE
mt-Cytb,75005.29944426425,-0.5158902808426492,0.571016570610384,0.26936370799704745,0.3878620409400314,FALSE
Taf2,738.2285271976464,-0.5162826660204918,0.4183113097820525,0.17417365177088723,0.279386983584294,FALSE
Gm7091,2.5027412110909766,-0.5164351485746793,0.9891469704179596,0.2659242654272621,0.3838256406783772,FALSE
Adtrp,76.31932916021367,-0.5167154276137238,0.7638796747262157,0.32533285813186674,0.44880311749576157,FALSE
Gm15492,6.011562950576824,-0.5169273984239353,0.8265741783103618,0.32202685076307064,0.4455797272062126,FALSE
Gm15491,3.5979983366995976,-0.5173056948759769,1.0601291222274989,0.20645434244688307,0.318110071109991,FALSE
