Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Zc3h12c,266.47561833106903,-0.5283963246322171,0.39894892322102277,-1.3244711136605294,0.1853466304329702,0.6406872476714349,FALSE
Gm38811,0.8707175410846864,-0.5284164326189211,2.735207002534372,-0.19319065508727642,0.8468096570391275,NA,NA
Acad11,706.7979935850353,-0.5285615625949702,0.26115073932024807,-2.0239711515685097,0.042973120094516065,0.4664783519983528,FALSE
Ppfia4,160.66321775786085,-0.528623510895677,0.5485977951644013,-0.9635902943016049,0.33525137474255756,0.7446974629140956,FALSE
Adgra2,294.79941521603087,-0.5286254497831586,0.42825883166383083,-1.2343597158974933,0.2170688930622116,0.6634926301367613,FALSE
Lef1os1,1.6939367934677727,-0.528798923191545,1.7132988955726811,-0.3086437075036989,0.7575925691993649,NA,NA
Foxn3,699.8873800584308,-0.528892916184948,0.29118045429864825,-1.8163750635627858,0.06931285771644785,0.5134794461927205,FALSE
Fbxo43,1.7894486697083547,-0.5291461893936927,2.276597933812345,-0.23242847651521636,0.816205233391795,NA,NA
Gm7895,3.844768231019413,-0.5291692969649281,1.1154836678030375,-0.47438551745641894,0.6352250186784383,NA,NA
Fcmr,116.19114524215532,-0.5292034402768777,0.8542981972507723,-0.6194598583725377,0.5356134583929764,0.8505511807762018,FALSE
Adamtsl3,126.3719352759605,-0.529323283911741,0.6339882335757873,-0.8349102647004654,0.40376823487622837,0.7838248344708687,FALSE
Enpp4,755.8302941572139,-0.5293296256890581,0.31359347880804506,-1.6879484474645856,0.09142112544499822,0.5431853830933722,FALSE
Hspd1,2554.7856553755623,-0.5294669527804837,0.24526002465556265,-2.1587984161872873,0.03086580942531693,0.4383168829246526,FALSE
Guf1,176.24694965198685,-0.5295169677812444,0.3505476106558875,-1.510542225036133,0.1309051234698998,0.5954654246874675,FALSE
Malt1,910.5883672923462,-0.5297596010801271,0.5142901306114226,-1.0300792676116755,0.30297279669673555,0.725131722950444,FALSE
Actr3b,8.707610943395615,-0.5300705846320481,1.2005020951251102,-0.4415407409820529,0.6588215738212133,0.9012312917866577,FALSE
Wdfy2,463.9463183021063,-0.5304467477758539,0.21976671746739976,-2.4136809881347956,0.015792282460181863,0.3858967542476211,FALSE
Spen,1250.4469653397514,-0.530463965604148,0.29755116797068076,-1.782765529780805,0.07462447912344813,0.5205451906263346,FALSE
Atxn7,602.055083205789,-0.5304701824930269,0.2923579350394206,-1.8144545398485594,0.06960777553746247,0.5134794461927205,FALSE
Rsf1,838.9675607913765,-0.5304992058735244,0.25394596606988434,-2.089023952944125,0.036705567041530524,0.455233158190694,FALSE
Rnf168,481.74394737827595,-0.5305984790367038,0.30905351837972556,-1.7168498252939222,0.08600661447504009,0.5353491647714573,FALSE
