Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,threshold
Cavin3,1016.0505225789163,0.27062921218734787,0.5605480570852396,0.482793952751485,0.6292420450137979,0.7309514122887124,FALSE
Fkbp14,216.7263872626041,0.2704308267526269,0.5390087429302182,0.501718813098432,0.6158653289648175,0.7203441487831447,FALSE
Sipa1,748.8604498728538,0.27021899446362435,0.34067965174065984,0.7931762084497104,0.42767516695041846,0.5528134648796671,FALSE
Sbno2,2086.428960968239,0.2701071130646078,0.35808286695617314,0.7543145399851454,0.45066037359351785,0.5739921166604778,FALSE
Osbp,1992.8780438963481,0.2694769896372871,0.19368694230570538,1.3913017905562197,0.16413393109584018,0.2699902470863322,FALSE
Mad2l2,663.0856697603268,0.2691610643544791,0.393203855741897,0.6845331255631409,0.49363857926961147,0.6141057335223514,FALSE
Mxra8,1928.8243606080537,0.2690325317092478,0.464601501176279,0.5790608317625119,0.5625481276174265,0.6739894249149393,FALSE
Arhgef19,487.199594641897,0.26888206816129245,0.6996263347296015,0.3843223944181756,0.7007395118103247,0.789021655030523,FALSE
Cul4b,618.6712269733607,0.268673222039153,0.3919032914114411,0.6855600040293753,0.49299061011755313,0.6134577625576488,FALSE
Prdm11,98.72726818832764,0.2681258463585202,0.5525542433980262,0.4852480087921048,0.6275004306423609,0.7295619102941752,FALSE
Rras2,851.5604637674531,0.26801411650255963,0.3470173683028664,0.7723363179581401,0.4399152604664944,0.5636158815573185,FALSE
Fem1a,1031.663433803346,0.26790875423556787,0.24203996378753423,1.1068781784761033,0.2683466016273531,0.3906221644108016,FALSE
Slc2a8,542.1828627514584,0.2677357320817875,0.5342942139540022,0.5011016872154208,0.6162995594840606,0.7205900912022161,FALSE
Gm9711,0.9570986825881516,0.26765484304546666,2.9406307401048735,0.09101953516133111,0.9274770686714605,NA,NA
2610035D17Rik,152.52398652505818,0.2675498467903361,0.6403480973456457,0.41781938276911695,0.6760791782914684,0.7696944351546143,FALSE
Cgref1,55.673143165213084,0.26724277461361845,0.6004267130679707,0.4450880828537779,0.6562561006170404,0.7534774565000808,FALSE
Yy1,1878.7450654631496,0.26700469581393527,0.22471553735485233,1.1881897396008865,0.2347586651282149,0.35390866275505967,FALSE
Atp9b,1207.4721460489054,0.2668639166597954,0.2430655093215019,1.0979094376850294,0.2722440364579326,0.3942728915279733,FALSE
Ccnj,219.0095220614556,0.26677891068102455,0.6647518468696305,0.4013210522653043,0.6881837658897315,0.7794301907011597,FALSE
